board,rank,model_id,run_id,model_digest,runtime_image_tag,runtime_image_digest,source_revision,wer,wer_ci_lower,wer_ci_upper,cer,cer_ci_lower,cer_ci_upper,word_accuracy_pct,speed_valid,batch_size,audio_throughput_x,rtf,processing_seconds,total_audio_seconds,checkpoint_gib,parameter_count,native_dtype,pareto_order,pareto_efficient,statistically_pareto_efficient,dominated_by,dominated_by_count,statistically_dominated_by,statistically_dominated_by_count
accuracy,1,whisper-persian-v4-nezamisafa,fleurs-fa-ir-v1-whisper-persian-v4-nezamisafa-20260817T144856Z,3f688b6dd9fcb3d01356841691490f65bdf3a05418125b993eb60806adf05f1c,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.13175769982320648,0.12382244266198059,0.13981981517036876,0.04972193765549539,0.04466659792139091,0.05534970142310003,86.82423001767935,True,1,6.3518008952252805,0.15743566533260056,2097.3358925677603,13321.860000000013,5.752026338130236,1543490560,float16,,,,,,,
accuracy,2,visualears-fastconformer-fa-full-ab,fleurs-fa-ir-v1-visualears-fastconformer-fa-full-ab-20260812T152130Z,98d2d843252252755f0af86ed243bfec68c20800b101b2890cd96cfdd42e1006,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:c5206ece402769a0540c7cdde4876b6ce8797645315df340588cab21dcd01fc7,78fdc159e15e0e91ef3b9c2c10cfeb98417b27b0,0.15520610402903134,0.14811547195327227,0.16237195841501326,0.051843992389872674,0.047455980446007066,0.056502812401158085,84.47938959709687,True,32,378.3487052158403,0.0026430644170686935,35.21053413517075,13321.86,0.4277318315580487,114621442,float32,,,,,,,
accuracy,3,whisper-large-fa-v1-vhdm,fleurs-fa-ir-v1-whisper-large-fa-v1-vhdm-20260817T112821Z,bee052b831d37a249b5566164ca4627ac6e7b49aa1d412b7e5674ab0b7973775,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.14566855866753511,0.13583625179661243,0.1577111997139643,0.055014878774574366,0.046289059566487295,0.06889205204789316,85.43314413324649,True,1,29.647850670652897,0.03372925785105414,449.33645099564455,13321.860000000013,3.0152039462700486,808878080,float16,,,,,,,
accuracy,4,whisper-large-v3,fleurs-fa-ir-v1-whisper-large-v3-20260817T130805Z,5de21bfaaa59a4cee66b28c8f9a6e12aba7636ec250e2aa62584c38d06d18fff,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.20368474923234392,0.19570770332506246,0.21190410241660348,0.05969803405044149,0.055764760944349206,0.06398144080093214,79.63152507676561,True,1,7.7136759253182445,0.1296398772364478,1727.044294961146,13321.860000000013,23.005246638320386,1543490560,float16,,,,,,,
accuracy,5,whisper-large-v3-turbo,fleurs-fa-ir-v1-whisper-large-v3-turbo-20260817T133753Z,6207b64b281c35122c4bd4740b715fbb064afa1ba4afe686dfe22a414df43e44,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.20270773239043455,0.19449693158564063,0.2111411385373244,0.061039562905507584,0.056352841459862954,0.06629199329723903,79.72922676095655,True,1,32.59387987317303,0.03068060641725159,408.72274340572767,13321.860000000013,1.511039262637496,808878080,float16,,,,,,,
accuracy,6,shenava-rizeh-v1-0,fleurs-fa-ir-v1-shenava-rizeh-v1-0-20260813T083709Z,8e0edc854ccf0b5cd8c93f66723401365bdc977578ad7ad264eba316f67dd3c7,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:057776af47665dc404fc58884c9f46961afeb2f641bbb2b734c282b8a6c507a0,1b1386addb75d2fed55bda91c5b9558c71e38481,0.1554852516981483,0.14700417152957226,0.16380937645143778,0.06403970925410996,0.05889891702684273,0.06941238545838062,84.45147483018516,True,16,675.0313799855791,0.0014814126122867997,19.735171423119027,13321.86,0.118442309089005,31627266,float32,,,,,,,
accuracy,7,xls-r-1b-fa-cv8-ghofrani,fleurs-fa-ir-v1-xls-r-1b-fa-cv8-ghofrani-20260813T053409Z,e979715e8c440eaabef7420aa18505137b71de36564ace6317282e8a61530c1c,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:c5206ece402769a0540c7cdde4876b6ce8797645315df340588cab21dcd01fc7,78fdc159e15e0e91ef3b9c2c10cfeb98417b27b0,0.30422443472597005,0.2953187092271209,0.31331437520725897,0.07044246060783453,0.06546605350502056,0.07568115007387988,69.57755652740299,True,1,289.03026437728795,0.003459845293898503,46.09157462697476,13321.860000000013,1.1762682488188148,315567870,float32,,,,,,,
accuracy,8,whisper-small-fa-7-taesiri,fleurs-fa-ir-v1-whisper-small-fa-7-taesiri-20260817T160004Z,fa335e347a5320ab3adb7dc0f456288b7e99f61a78a01eda3a6eee10a5684b10,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.2804968828510282,0.2710102313938765,0.2901118440362758,0.0727230596614469,0.06611821685650832,0.07979564990186883,71.95031171489718,True,1,12.474875724279888,0.08016111920487488,1067.8952074906556,13321.860000000013,0.9023437947034836,241734912,float16,,,,,,,
accuracy,9,persian-speech-transcription-wav2vec2-v1-seyedali,fleurs-fa-ir-v1-persian-speech-transcription-wav2vec2-v1-seyedali-20260812T133652Z,977082796cdbc842f86400796b14f78e9027b52d97c164786e9dd82e69590b5c,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:c5206ece402769a0540c7cdde4876b6ce8797645315df340588cab21dcd01fc7,78fdc159e15e0e91ef3b9c2c10cfeb98417b27b0,0.29715269377500697,0.2876313188806412,0.3065749406263677,0.07404019708278453,0.06898063841849582,0.0794138235531425,70.2847306224993,True,1,286.63350612223644,0.003488775661745367,46.47698093717918,13321.860000000013,2.3507036147639155,315479720,float32,,,,,,,
accuracy,10,wav2vec2-large-xlsr-53-persian,fleurs-fa-ir-v1-wav2vec2-large-xlsr-53-persian-20260812T013002Z,7618cbbfe8870e0817882049e5a383db467c5e11585f70ba2c1a2f8b72a1b568,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:f2495a7e7f6da7cd8eef90efbaa7c759d2b86a7bfcc14cacbb5b9224af0bd5d9,4fe41b118493b290b74b5e31516fbfcd7b103b22,0.32688192053596354,0.3178713127054003,0.3357472559796317,0.07405239279964876,0.06900463875885025,0.07933790602205508,67.31180794640365,True,1,470.1668376958302,0.002126904579022947,28.334325035102665,13321.860000000013,2.3509042877703905,315507395,float32,,,,,,,
accuracy,11,neuraspeech-whisperbase-neurai,fleurs-fa-ir-v1-neuraspeech-whisperbase-neurai-20260817T100800Z,8b31228f969040d36ec4f839a617aef212220477c4adeab011e1c79edcc58f3b,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.22685400576905182,0.21432518418863816,0.24153943557081578,0.07654031903995318,0.06661373278889338,0.08877579309038151,77.31459942309482,True,1,20.493743604735965,0.048795379667427224,650.0452165763127,13321.860000000013,0.2723108073696494,72593920,float16,,,,,,,
accuracy,12,persian-whisper-large-v3-10-percent-17-0-one-epoch-mohammadreza-halakoo,fleurs-fa-ir-v1-persian-whisper-large-v3-10-percent-17-0-one-epoch-mohammadreza-halakoo-20260817T102041Z,24d209b09f495eecf83010f4cab3e9d3e770ef79447273ffd19a66f3cb4b91be,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.28989485437796597,0.27101664605318926,0.31634318381407356,0.07869896092492316,0.06067320573304046,0.10182113279191772,71.0105145622034,True,1,7.781557177029788,0.1285089831315355,1711.9786820206791,13321.860000000013,5.752101889811456,1543490560,float16,,,,,,,
accuracy,13,whisper-large-persian-steja,fleurs-fa-ir-v1-whisper-large-persian-steja-20260817T113711Z,1be2f6e86a42fd9abd952b433655a0202e6e6ef2fdb128f9ec912328ff29c26d,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.27402996184981854,0.25962121012435935,0.29183891743450285,0.08000390262939655,0.061071597517942784,0.10358282095737857,72.59700381501814,True,1,6.289328162791068,0.15899949471808475,2118.1690087050665,13321.860000000013,2.8764894399791956,1543304960,float16,,,,,,,
accuracy,14,whisper-large-v2-fa-aictsharif,fleurs-fa-ir-v1-whisper-large-v2-fa-aictsharif-20260817T124648Z,27578b0538c99f45f75be441626d9445f6fd89bae30843f0c238ca8a8aa045c3,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.26979622220154464,0.24017316163283955,0.3049379508882258,0.08150397580369774,0.05687918410270392,0.11109091770970161,73.02037777984553,True,2,13.564543582951085,0.07372161060080736,982.1089753984706,13321.85999999999,5.751326424069703,1543304960,float16,,,,,,,
accuracy,15,wav2vec2-large-xlsr-persian-v2-m3hrdadfi,fleurs-fa-ir-v1-wav2vec2-large-xlsr-persian-v2-m3hrdadfi-20260812T152838Z,b9a8c28a9be826220ef915a7d3ed00d8e24e7e073815f1f6c578cd297e15229e,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:c5206ece402769a0540c7cdde4876b6ce8797645315df340588cab21dcd01fc7,78fdc159e15e0e91ef3b9c2c10cfeb98417b27b0,0.34414255140969574,0.3349187352495824,0.3533177770821202,0.08345529050197571,0.07841777362721195,0.0887623485230988,65.58574485903043,True,1,288.7404318644854,0.0034633182251016725,46.137840530253015,13321.860000000013,2.681559848599136,315479720,float32,,,,,,,
accuracy,16,whisper-large-v2,fleurs-fa-ir-v1-whisper-large-v2-20260817T121622Z,8608c91d04ad4bd10f8e14fce0b54ce5ed4f7384127e095064f6beeb48bd19ee,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.25760677398343723,0.24172979843110873,0.27794789725589436,0.08513829942924045,0.07182985994923383,0.10346212527655957,74.23932260165628,True,1,7.771297152789541,0.1286786466067696,1714.2389150848612,13321.860000000013,23.002953900955617,1543304960,float16,,,,,,,
accuracy,17,wav2vec2-large-xlsr-persian-m3hrdadfi,fleurs-fa-ir-v1-wav2vec2-large-xlsr-persian-m3hrdadfi-20260812T152330Z,09081a84dede4957a8924ad0ea995c0ca56f8ef0a730915595bbc53f5f63de0b,ghcr.io/armanjr/peste-benchmark:2.0.0,sha256:c5206ece402769a0540c7cdde4876b6ce8797645315df340588cab21dcd01fc7,78fdc159e15e0e91ef3b9c2c10cfeb98417b27b0,0.33795477807760305,0.3289393750744482,0.346994710633005,0.08521147373042587,0.08015647136132524,0.0905543340199135,66.2045221922397,True,1,281.19334746338205,0.0035562718998187657,47.37615637131967,13321.860000000013,2.3515435801818967,315475620,float32,,,,,,,
accuracy,18,whisper-small-persian-amirmohseni,fleurs-fa-ir-v1-whisper-small-persian-amirmohseni-20260817T170740Z,7d1529917ded0c98974f9c3e66f2bde222ca5840e5745b73dbaaacb757f88405,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.23294872987810553,0.21569684886677504,0.2539182157699978,0.08622371823015756,0.07103294853449195,0.10612633534806541,76.70512701218945,True,2,31.12139738598082,0.03213223325410405,428.06111289851833,13321.85999999999,0.9023707108572125,241734912,float16,,,,,,,
accuracy,19,whisper-medium-fa-aictsharif,fleurs-fa-ir-v1-whisper-medium-fa-aictsharif-20260817T141107Z,efb54e673036584c7af94ca9e3d5209d0dbe3474249922dd8b220eb457290b17,ghcr.io/armanjr/peste-benchmark:2.1.0,sha256:7c81292cfd47fe2ed956bf5b81f8cef5d78d1e9558299650fd9d883973bd14ef,e7833ac24e5e2db15a66ae267066bff576d872c5,0.28389317949195125,0.2556719186061132,0.3169966699351817,0.0871505927118396,0.062099886497225844,0.1174027152530115,71.61068205080487,True,2,17.044689990931012,0.05866929821147063,781.5841770714615,13321.85999999999,2.8475208217278123,763857920,float16,,,,,,,
